year	AnnualMean	5YearMean
1880	-0.24	0
1881	-0.20	0
1882	-0.14	-0.24
1883	-0.19	-0.26
1884	-0.45	-0.31
1885	-0.32	-0.39
1886	-0.42	-0.40
1887	-0.54	-0.31
1888	-0.24	-0.33
1889	-0.05	-0.34
1890	-0.41	-0.31
1891	-0.47	-0.35
1892	-0.39	-0.40
1893	-0.42	-0.36
1894	-0.29	-0.28
1895	-0.21	-0.22
1896	-0.10	-0.18
1897	-0.05	-0.15
1898	-0.23	-0.11
1899	-0.16	-0.09
1900	0.00	-0.11
1901	0.01	-0.12
1902	-0.17	-0.16
1903	-0.27	-0.19
1904	-0.37	-0.21
1905	-0.17	-0.25
1906	-0.07	-0.24
1907	-0.36	-0.22
1908	-0.23	-0.22
1909	-0.26	-0.25
1910	-0.17	-0.22
1911	-0.20	-0.21
1912	-0.22	-0.16
1913	-0.20	-0.12
1914	0.02	-0.12
1915	0.03	-0.15
1916	-0.20	-0.18
1917	-0.41	-0.20
1918	-0.32	-0.23
1919	-0.07	-0.20
1920	-0.14	-0.15
1921	-0.07	-0.12
1922	-0.15	-0.13
1923	-0.18	-0.13
1924	-0.13	-0.11
1925	-0.14	-0.09
1926	0.06	-0.06
1927	-0.07	-0.08
1928	-0.03	-0.06
1929	-0.22	-0.07
1930	-0.04	-0.05
1931	0.02	-0.07
1932	0.01	-0.02
1933	-0.12	-0.03
1934	0.04	-0.03
1935	-0.10	-0.01
1936	0.00	0.04
1937	0.11	0.03
1938	0.15	0.08
1939	-0.02	0.10
1940	0.14	0.10
1941	0.11	0.07
1942	0.10	0.09
1943	0.04	0.06
1944	0.08	0.04
1945	-0.01	0.04
1946	0.00	0.03
1947	0.12	0.00
1948	-0.03	-0.04
1949	-0.09	-0.04
1950	-0.17	-0.06
1951	-0.02	-0.03
1952	0.04	-0.02
1953	0.12	0.00
1954	-0.08	-0.03
1955	-0.07	-0.03
1956	-0.17	-0.03
1957	0.08	0.00
1958	0.10	0.01
1959	0.05	0.06
1960	-0.01	0.06
1961	0.09	0.04
1962	0.04	-0.02
1963	0.03	-0.05
1964	-0.25	-0.08
1965	-0.15	-0.09
1966	-0.07	-0.12
1967	-0.02	-0.07
1968	-0.09	-0.03
1969	0.00	-0.03
1970	0.05	-0.04
1971	-0.10	0.02
1972	-0.06	0.00
1973	0.19	-0.01
1974	-0.07	-0.04
1975	-0.02	0.00
1976	-0.23	-0.02
1977	0.15	0.02
1978	0.06	0.08
1979	0.13	0.20
1980	0.28	0.18
1981	0.38	0.23
1982	0.06	0.23
1983	0.31	0.20
1984	0.13	0.16
1985	0.11	0.22
1986	0.18	0.24
1987	0.34	0.26
1988	0.41	0.33
1989	0.27	0.38
1990	0.46	0.34
1991	0.42	0.29
1992	0.14	0.30
1993	0.17	0.29
1994	0.30	0.28
1995	0.44	0.33
1996	0.35	0.43
1997	0.38	0.46
1998	0.70	0.45
1999	0.42	0.49
2000	0.41	0.55
2001	0.55	0.55
2002	0.68	0.58
2003	0.66	0.65
2004	0.58	0.67
2005	0.77	0.69
2006	0.66	0.66
2007	0.75	0.69
2008	0.55	0.70
2009	0.72	0
2010	0.83	0
