CountryName,2010
Afghanistan,0.26
Albania,1.34
Algeria,3.48
Andorra,6.09
Angola,1.59
Anguilla,4.30
Antigua and Barbuda,5.79
Argentina,4.47
Armenia,1.36
Aruba,21.59
Australia,16.75
Austria,7.97
Azerbaijan,4.98
Bahamas,7.19
Bahrain,19.18
Bangladesh,0.38
Barbados,5.50
Belarus,6.48
Belgium,10.17
Belize,1.35
Benin,0.59
Bermuda,7.34
Bhutan,0.66
Bolivia,1.56
Bosnia and Herzegovina,8.28
Botswana,2.61
Brazil,2.15
British Virgin Islands,5.05
Brunei,22.96
Bulgaria,5.96
Burkina Faso,0.10
Burundi,0.04
Cambodia,0.30
Cameroon,0.37
Canada,14.67
Cape Verde,0.72
Cayman Islands,10.50
Chad,0.04
Chile,4.22
China,6.18
Colombia,1.63
Comoros,0.19
"Congo, Dem. Rep.",0.05
"Congo, Rep.",0.50
Costa Rica,1.67
Cote d'Ivoire,0.29
Croatia,4.74
Cuba,3.41
Cyprus,6.98
Denmark,8.34
Djibouti,0.61
Dominica,2.00
Ecuador,2.26
Egypt,2.52
El Salvador,1.01
Equatorial Guinea,6.68
Eritrea,0.10
Estonia,13.67
Ethiopia,0.08
Faeroe Islands,14.60
Fiji,1.50
Finland,11.53
France,5.75
French Guiana,3.03
French Polynesia,3.26
Gabon,1.71
Gambia,0.27
Georgia,1.43
Germany,9.06
Ghana,0.37
Gibraltar,15.67
Greece,7.63
Greenland,11.07
Grenada,2.49
Guadeloupe,3.77
Guatemala,0.77
Guinea,0.12
Guinea-Bissau,0.16
Guyana,2.25
Haiti,0.21
Honduras,1.07
"Hong Kong, China",5.14
Hungary,5.07
Iceland,6.13
India,1.64
Indonesia,1.81
Iran,7.73
Iraq,3.62
Ireland,8.95
Israel,9.52
Italy,6.71
Jamaica,2.61
Japan,9.25
Jordan,3.36
Kazakhstan,15.52
Kenya,0.31
Kiribati,0.63
Kuwait,34.23
Latvia,3.38
Lebanon,4.83
Lesotho,0.01
Liberia,0.20
Libya,9.29
Lithuania,4.08
Luxembourg,21.34
"Macao, China",1.90
"Macedonia, FYR",5.28
Madagascar,0.10
Malawi,0.08
Malaysia,7.63
Maldives,3.40
Mali,0.04
Malta,6.22
Marshall Islands,1.90
Martinique,5.62
Mauritania,0.64
Mauritius,3.17
Mexico,3.91
"Micronesia, Fed. Sts.",0.92
Moldova,1.36
Mongolia,4.18
Montenegro,4.09
Montserrat,12.98
Morocco,1.58
Mozambique,0.12
Myanmar,0.19
Namibia,1.39
Nauru,8.22
Nepal,0.13
Netherlands,10.96
Netherlands Antilles,23.55
New Caledonia,15.62
New Zealand,7.22
Nicaragua,0.79
Niger,0.09
Nigeria,0.50
Niue,5.00
Norway,11.71
Oman,20.56
Pakistan,0.93
Palau,10.57
Panama,2.74
Papua New Guinea,0.46
Paraguay,0.79
Peru,1.98
Philippines,0.87
Poland,8.29
Portugal,4.90
Qatar,40.10
Reunion,5.16
Romania,3.66
Russia,12.18
Rwanda,0.06
Samoa,0.88
Sao Tome and Principe,0.60
Saudi Arabia,16.92
Senegal,0.57
Serbia,4.66
Seychelles,8.14
Sierra Leone,0.12
Singapore,2.66
Slovak Republic,6.61
Slovenia,7.55
Solomon Islands,0.37
Somalia,0.07
South Africa,9.18
Spain,5.85
Sri Lanka,0.61
Sudan,0.42
Suriname,4.54
Swaziland,0.86
Sweden,5.60
Switzerland,5.06
Syria,3.03
Taiwan,11.31
Tajikistan,0.42
Tanzania,0.15
Thailand,4.27
Timor-Leste,0.16
Togo,0.26
Tonga,1.52
Trinidad and Tobago,37.78
Tunisia,2.47
Turkey,4.10
Turkmenistan,10.52
Turks and Caicos Islands,4.21
Uganda,0.11
Ukraine,6.71
United Arab Emirates,22.31
United Kingdom,7.95
United States,17.50
Uruguay,1.97
Uzbekistan,3.81
Vanuatu,0.49
Venezuela,6.96
Vietnam,1.71
Wallis et Futuna,2.16
West Bank and Gaza,0.59
Western Sahara,0.45
Zambia,0.19
Zimbabwe,0.75
