Year of divorce,Party to whom granted ,Total,Adultery,"Adultery, % ",Behaviour,Behaviour %,Desertion,"Desertion, %",Separation         (2 years and consent),"Separation (2 years and consent), %",Separation (5 years),Separation (5 years),Others1,"Others, %"
1974,Wife   ,72916,18403,25,23894,33,4629,6,16746,23,7833,11,1411,2
1974,Husband,37681,14879,39,2165,6,1868,5,10581,28,7766,21,422,1
1975,Wife   ,81407,20528,25,28668,35,4165,5,19312,24,7319,9,1415,2
1975,Husband,38385,15628,41,2390,6,1381,4,11814,31,6793,18,379,1
1976,Wife   ,87361,21337,24,33351,38,3935,5,20122,23,7134,8,1482,2
1976,Husband,38647,15591,40,2846,7,1188,3,12203,32,6445,17,374,1
1977,Wife   ,89081,21601,24,35078,39,3444,4,20779,23,6941,8,1238,1
1977,Husband,39411,15705,40,3187,8,1174,3,12462,32,6574,17,309,1
1978,Wife   ,98462,22883,23,40071,41,3557,4,23358,24,7543,8,1050,1
1978,Husband,44515,17642,40,4059,9,1298,3,14373,32,6850,15,293,1
1979,Wife   ,95733,23105,24,39137,41,2934,3,22981,24,6811,7,765,1
1979,Husband,41720,16974,41,3640,9,1144,3,13813,33,5924,14,225,1
1980,Wife   ,103218,25845,25,43129,42,2831,3,24195,23,6551,6,667,1
1980,Husband,43650,18340,42,4148,10,1087,2,14120,32,5753,13,202,0
1981,Wife   ,102148,25625,25,44482,44,2343,2,23348,23,5888,6,462,0
1981,Husband,42073,18262,43,4343,10,873,2,13399,32,5072,12,124,0
1982,Wife   ,103823,25267,24,47573,46,2104,2,22926,22,5531,5,422,0
1982,Husband,41375,18010,44,4767,12,771,2,12831,31,4867,12,129,0
1983,Wife   ,104860,25571,24,48849,47,1803,2,22850,22,5384,5,403,0
1983,Husband,41221,18151,44,5243,13,678,2,12219,30,4820,12,110,0
1984,Wife   ,102517,25370,25,47514,46,1462,1,22439,22,5370,5,362,0
1984,Husband,40648,17614,43,5499,14,561,1,12100,30,4774,12,100,0
1985,Wife   ,114769,27887,24,56867,50,1382,1,23252,20,4979,4,402,0
1985,Husband,44326,19560,44,7030,16,581,1,12501,28,4566,10,88,0
1986,Wife   ,109590,27000,25,55989,51,1015,1,20419,19,4828,4,339,0
1986,Husband,43232,19016,44,7514,17,459,1,11492,27,4656,11,95,0
1987,Wife   ,107556,26944,25,55844,52,866,1,18830,18,4725,4,347,0
