Year,Total,Husband,Wife,Both,"Median age at divorce, husband","Median age at divorce, wife","Median duration of marriage, wife","Median duration, husband",Divorces per thousand married population
1974,113500,37826,75355,319,35.9,33.5,10.9,,9
1975,120522,38477,81693,352,35.6,33.2,10.6,,9.6
1976,126694,38673,87589,432,35.4,33.1,10.5,,10.1
1977,129053,39384,89244,425,35.4,33,10.4,,10.3
1978,143667,44592,98747,328,35.5,33,10.4,,11.6
1979,138706,42045,96299,362,35.3,32.8,10.2,,11.2
1980,148301,44034,103796,471,35.2,32.9,10.1,,12
1981,145713,42480,102724,509,35.4,33.2,10.1,,11.9
1982,146698,41761,104349,588,35.6,33.4,10.1,,12.1
1983,147479,41553,105360,566,36,33.7,10.1,,12.2
1984,144501,40975,102961,565,36.4,34,10.1,,12
1985,160300,44574,115144,582,35.7,33.1,8.9,,13.4
1986,153903,43439,109883,581,36.2,33.6,9.4,,12.9
1987,151007,42784,107790,433,36.4,33.7,9.5,,12.7
1988,152633,43188,109051,394,36.7,34,9.7,,12.8
1989,150872,42536,107979,357,36.7,34,9.7,,12.7
1990,153386,43160,109830,396,36.8,34.1,9.8,,13
1991,158745,44160,114192,393,37,34.3,9.8,,13.5
1992,160385,44378,115628,379,37.2,34.5,9.9,,13.9
1993,165018,46271,118401,346,37.3,34.7,9.8,,13.8
1994,158175,45112,112640,423,37.6,34.9,9.8,,14.2
1995,155499,45985,109023,491,37.9,35.3,9.6,,13.7
1996,157107,46884,109732,491,38.1,35.6,9.9,,13.6
1997,146689,43889,102373,427,38.4,36,10,,13
1998,145214,43053,101795,366,38.7,36.3,10.2,,12.9
1999,144556,43539,100664,353,39.2,36.9,10.5,,12.9
2000,141135,42452,98438,245,39.7,37.3,10.7,,12.7
2001,143818,44480,99140,198,40,37.7,10.9,,12.9
2002,147735,44771,102796,168,40.4,38.2,11.1,11.1,13.3
2003,153065,46883,106013,169,40.9,38.7,11.3,11.3,13.9
2004,152923,47580,105177,166,41.4,39.2,11.5,11.5,14
2005,141322,44537,96644,141,42,39.8,11.6,11.6,12.9
2006,132140,41638,90375,127,42.4,40.1,11.6,11.6,12.1
2007,128131,40878,87151,102,42.7,40.5,11.7,11.7,11.8
2008,121708,40143,81466,99,43,40.8,11.5,11.5,11.2
2009,113949,38043,75834,72,43.2,40.9,11.4,11.4,10.5
2010,119589,40338,79178,73,43.4,41.1,11.4,11.4,11.1
2011,117558,40414,77083,61,43.8,41.6,11.5,11.5,10.8
2012,118140,41601,76490,49,44.1,41.8,11.5,11.5,10.8
