Year of divorce,Party to whom granted ,Total,Adultery,"Adultery, % ",Behaviour,Behaviour %,Desertion,"Desertion, %",Separation         (2 years and consent),"Separation (2 years and consent), %",Separation (5 years),Separation (5 years),Others1,"Others, %"
1974,Wife   ,72916,18403,25,23894,33,4629,6,16746,23,7833,11,1411,2
1975,Wife   ,81407,20528,25,28668,35,4165,5,19312,24,7319,9,1415,2
1976,Wife   ,87361,21337,24,33351,38,3935,5,20122,23,7134,8,1482,2
1977,Wife   ,89081,21601,24,35078,39,3444,4,20779,23,6941,8,1238,1
1978,Wife   ,98462,22883,23,40071,41,3557,4,23358,24,7543,8,1050,1
1979,Wife   ,95733,23105,24,39137,41,2934,3,22981,24,6811,7,765,1
1980,Wife   ,103218,25845,25,43129,42,2831,3,24195,23,6551,6,667,1
1981,Wife   ,102148,25625,25,44482,44,2343,2,23348,23,5888,6,462,0
1982,Wife   ,103823,25267,24,47573,46,2104,2,22926,22,5531,5,422,0
1983,Wife   ,104860,25571,24,48849,47,1803,2,22850,22,5384,5,403,0
1984,Wife   ,102517,25370,25,47514,46,1462,1,22439,22,5370,5,362,0
1985,Wife   ,114769,27887,24,56867,50,1382,1,23252,20,4979,4,402,0
1986,Wife   ,109590,27000,25,55989,51,1015,1,20419,19,4828,4,339,0
1987,Wife   ,107556,26944,25,55844,52,866,1,18830,18,4725,4,347,0
1988,Wife   ,108755,26779,25,57454,53,763,1,18539,17,4921,5,299,0
1989,Wife   ,107763,25742,24,58013,54,764,1,18168,17,4753,4,323,0
1990,Wife   ,109565,25893,24,60010,55,694,1,17955,16,4702,4,311,0
1991,Wife   ,113946,26380,23,63329,56,734,1,18407,16,4821,4,275,0
1992,Wife,115392,26136,23,63752,55,706,1,19671,17,4870,4,257,0
1993,Wife,118122,26607,23,63948,54,747,1,21451,18,5118,4,251,0
1994,Wife,112407,24871,22,60309,54,677,1,21196,19,5129,5,225,0
1995,Wife,108759,23896,22,57027,52,698,1,21639,20,5375,5,124,0
1996,Wife,109484,23944,22,57673,53,635,1,21505,20,5644,5,83,0
1997,Wife,102172,22858,22,53845,53,537,1,19702,19,5138,5,92,0
1998,Wife,101576,22610,22,53803,53,492,0,19449,19,5148,5,74,0
1999,Wife   ,100470,21688,22,52961,53,426,0,19908,20,5420,5,67,0
2000,Wife   ,98227,21083,22,51494,52,411,0,19559,20,5647,6,33,0
2001,Wife   ,98992,20766,21,51982,53,412,0,19869,20,5953,6,10,0
2002,Wife   ,102676,20980,20,53330,52,419,0,21439,21,6505,6,3,0
2003,Wife   ,105912,21090,20,54815,52,397,0,22284,21,7321,7,5,0
2004,Wife   ,105051,20167,19,54309,52,424,0,22464,21,7682,7,5,0
2005,Wife   ,96551,17864,19,51040,53,357,0,20178,21,7052,7,60,0
2006,Wife   ,90300,16062,18,48609,54,288,0,18432,20,6771,7,138,0
2007,Wife   ,87075,14997,17,47185,54,281,0,17907,21,6547,8,158,0
2008,Wife   ,81393,13437,17,43773,54,276,0,17254,21,6505,8,148,0
2009,Wife   ,75782,12096,16,41091,54,239,0,16305,22,5915,8,136,0
2010,Wife   ,79124,12150,15,43186,55,276,0,16966,21,6430,8,116,0
2011,Wife,77016,11129,15,41835,54,319,0,16773,22,6801,9,159,0
2012,Wife,76400,10320,14,41248,54,385,1,16973,22,7231,9,243,0
