Year	United Kingdom	Ireland	Sweden	France	Germany	Greece	Norway	Israel	Spain	Turkey	Denmark	Switzerland	Russia	Netherlands	Malta	Belgium	Italy	Cyprus	Iceland	Ukraine	Austria	Finland	Bosnia-Herzegovina	Croatia	Portugal	Luxembourg	Estonia	Romania	Yugoslavia	Armenia	Latvia	Serbia	Poland	Azerbaijan	Slovenia	Serbia & Montenegro	Hungary	Moldova	Monaco	Georgia	Albania	Macedonia	Lithuania	Belarus	Bulgaria	Slovakia	Morocco
1975	138	68	72	91	15	0	11	40	53	3	0	77	0	152	32	17	115	0	0	0	0	74	0	0	16	84	0	0	22	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0
1976	164	54	0	147	12	20	7	77	11	0	0	91	0	56	0	68	69	0	0	0	80	44	0	0	24	17	0	0	10	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0
1977	121	119	2	136	55	92	18	49	52	0	0	71	0	35	0	69	33	0	0	0	11	50	0	0	18	17	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0
1978	61	86	26	119	84	66	0	157	65	2	0	65	0	37	0	125	53	0	0	0	14	2	0	0	5	73	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0
1979	73	80	8	106	86	69	57	125	116	0	0	60	0	51	0	5	27	0	0	0	5	38	0	0	64	44	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0
1980	106	143	47	45	128	30	15	0	38	23	0	104	0	93	0	14	87	0	0	0	64	6	0	0	71	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
1981	136	105	50	125	132	55	0	56	38	9	0	121	0	51	0	40	0	69	0	0	20	27	0	0	9	41	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1982	76	49	67	0	161	0	40	100	52	20	0	97	0	8	0	96	0	85	0	0	57	0	0	0	32	78	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1983	79	0	126	56	94	32	53	136	0	0	0	28	0	66	0	13	41	26	0	0	53	41	0	0	33	142	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1984	63	137	145	61	34	0	29	0	106	37	101	30	0	34	0	70	70	31	0	0	5	46	0	0	38	39	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1985	100	91	103	56	105	15	123	93	36	36	41	39	0	0	0	7	78	15	0	0	60	58	0	0	9	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
