Giver	Year	Recipient	Points
United Kingdom	1975	Netherlands	12
United Kingdom	1975	Ireland	6
United Kingdom	1975	France	8
United Kingdom	1975	Luxembourg	3
United Kingdom	1975	Switzerland	5
United Kingdom	1975	Israel	1
United Kingdom	1975	Monaco	2
United Kingdom	1975	Finland	4
United Kingdom	1975	Sweden	7
United Kingdom	1975	Italy	10
United Kingdom	1976	Switzerland	12
United Kingdom	1976	Israel	6
United Kingdom	1976	Belgium	7
United Kingdom	1976	Ireland	10
United Kingdom	1976	Finland	2
United Kingdom	1976	Spain	3
United Kingdom	1976	Italy	1
United Kingdom	1976	Austria	4
United Kingdom	1976	Monaco	5
United Kingdom	1976	France	8
United Kingdom	1977	Ireland	12
United Kingdom	1977	Monaco	7
United Kingdom	1977	Netherlands	1
United Kingdom	1977	Norway	2
United Kingdom	1977	Germany	8
United Kingdom	1977	Greece	5
United Kingdom	1977	Switzerland	4
United Kingdom	1977	Spain	3
United Kingdom	1977	Belgium	10
United Kingdom	1977	France	6
United Kingdom	1978	Italy	6
United Kingdom	1978	France	8
United Kingdom	1978	Switzerland	2
United Kingdom	1978	Belgium	12
United Kingdom	1978	Netherlands	3
United Kingdom	1978	Turkey	1
United Kingdom	1978	Monaco	10
United Kingdom	1978	Luxembourg	7
United Kingdom	1978	Israel	5
United Kingdom	1978	Sweden	4
United Kingdom	1979	Denmark	3
United Kingdom	1979	Ireland	4
United Kingdom	1979	Germany	8
United Kingdom	1979	Israel	12
United Kingdom	1979	France	6
United Kingdom	1979	Belgium	2
United Kingdom	1979	Luxembourg	10
United Kingdom	1979	Norway	7
United Kingdom	1979	Austria	1
United Kingdom	1979	Spain	5
United Kingdom	1980	Austria	6
United Kingdom	1980	Greece	3
United Kingdom	1980	Luxembourg	8
United Kingdom	1980	Italy	4
United Kingdom	1980	Switzerland	7
United Kingdom	1980	Germany	10
United Kingdom	1980	Netherlands	2
United Kingdom	1980	France	5
United Kingdom	1980	Ireland	12
United Kingdom	1980	Belgium	1
United Kingdom	1981	Germany	7
United Kingdom	1981	Israel	4
United Kingdom	1981	Denmark	5
United Kingdom	1981	France	1
United Kingdom	1981	Netherlands	6
United Kingdom	1981	Belgium	3
United Kingdom	1981	Greece	8
United Kingdom	1981	Cyprus	10
United Kingdom	1981	Switzerland	12
United Kingdom	1981	Sweden	2
United Kingdom	1982	Portugal	4
United Kingdom	1982	Luxembourg	6
United Kingdom	1982	Switzerland	12
United Kingdom	1982	Cyprus	3
United Kingdom	1982	Sweden	5
United Kingdom	1982	Austria	10
United Kingdom	1982	Belgium	2
United Kingdom	1982	Israel	1
United Kingdom	1982	Ireland	7
United Kingdom	1982	Germany	8
United Kingdom	1983	Norway	5
United Kingdom	1983	Sweden	8
United Kingdom	1983	Finland	6
United Kingdom	1983	Netherlands	1
United Kingdom	1983	Yugoslavia	12
United Kingdom	1983	Germany	7
