Date,Predominantly food stores,Predominantly non-food stores,Non-store retailing,Automotive fuel
2013 Jan,10177743,10764352,1656011,2546515
2013 Feb,10199019,11161840,1680760,2597627
2013 Mar,13011288,13477320,2166238,3250163
2013 Apr,10025575,11022381,1702786,2594639
2013 May,10282998,11128188,1778922,2634562
2013 Jun,12868994,13931310,2225664,3290389
2013 Jul,10577354,11098458,1816354,2658158
2013 Aug,10307428,11102426,1852463,2638768
2013 Sep,12844435,14272519,2288405,3267725
2013 Oct,10265060,11247331,1843725,2552520
2013 Nov,10284020,11267423,1866903,2541121
2013 Dec,13193158,14466325,2434906,3210846
