Week,Date,Retailer,Total,Number of cheapest products,Number of cheapest products exclusively,Number of products on promotion,Price-only promotions,Multibuy promotions,Number of products off promotion,Winner?
40,04/04/2014,Asda,65.24,19,9,8,0,8,1,Y
40,04/04/2014,Morrisons,69.63,13,7,11,3,7,2,N
40,04/04/2014,Sainsburys,71.78,6,4,10,4,6,1,N
40,04/04/2014,Tesco,70.74,8,1,9,0,9,7,N
40,04/04/2014,Waitrose,71.99,7,2,8,4,3,0,N
39,28/03/2014,Asda,67.13,20,12,11,3,8,1,Y
39,28/03/2014,Morrisons,67.68,11,5,17,7,9,1,N
39,28/03/2014,Sainsburys,74.19,3,1,16,4,12,3,N
39,28/03/2014,Tesco,70.49,11,3,12,5,7,0,N
39,28/03/2014,Waitrose,76.93,8,3,14,3,11,0,N
38,21/03/2014,Asda,64.51,21,7,13,2,11,1,Y
38,21/03/2014,Morrisons,64.82,21,8,16,8,8,2,N
38,21/03/2014,Sainsburys,67.13,7,0,14,6,8,1,N
38,21/03/2014,Tesco,69.4,10,1,8,2,6,1,N
38,21/03/2014,Waitrose,75.08,3,1,12,3,9,1,N
37,14/03/2014,Asda,87.68,18,7,10,1,9,1,Y
37,14/03/2014,Morrisons,96.66,12,6,9,5,4,6,N
37,14/03/2014,Sainsburys,103.74,4,2,9,3,5,3,N
37,14/03/2014,Tesco,94.93,12,4,11,7,4,2,N
37,14/03/2014,Waitrose,102.43,11,3,11,7,3,0,N
36,07/03/2014,Asda,49.9,23,9,10,5,5,0,Y
36,07/03/2014,Morrisons,53.29,14,2,11,6,5,0,N
36,07/03/2014,Sainsburys,56.22,8,3,9,6,3,3,N
36,07/03/2014,Tesco,56.59,11,1,5,1,4,7,N
36,07/03/2014,Waitrose,55.77,9,1,12,6,6,1,N
35,28/02/2014,Asda,61.6,26,16,7,3,4,0,Y
35,28/02/2014,Morrisons,67.71,10,2,7,2,5,1,N
35,28/02/2014,Sainsburys,71.58,5,2,6,3,3,0,N
35,28/02/2014,Tesco,66.19,9,3,11,5,6,1,N
35,28/02/2014,Waitrose,72.41,4,0,8,5,3,0,N
34,21/02/2014,Asda,52.08,21,14,10,4,6,2,Y
34,21/02/2014,Morrisons,57.75,9,4,11,3,8,1,N
34,21/02/2014,Sainsburys,58.45,6,2,10,1,9,0,N
34,21/02/2014,Tesco,57.04,11,1,13,3,10,1,N
34,21/02/2014,Waitrose,60.04,8,1,14,7,7,1,N
33,14/02/2014,Asda,58.23,23,16,6,2,4,1,Y
33,14/02/2014,Morrisons,69.41,13,4,5,2,1,3,N
