Name 2,Own 2,Rank 2013,Rank 2012,Change2,Current Turnover,Last,Y-O-Y %,Current Profit,Last2,Y-O-Y %2,Operating Margin % |Current,Last3,(Ppts),ROCE |Current,Last4,Year End,Activity,OwnPos
Associated British Foods,Listed,1,1,0,3744,"3,693",1.4,174,203,-14.4,4.6,5.5,-0.9,11.2,13.9,09/12/2014,B,0
Vion Food Uk,Family,2,2,0,2476,"2,403",3,-58,5,,-2.4,0.2,-2.6,-10.2,1.2,12/11/2014,uB,0
Boparan Holdings,Family,3,11,8,2346,"1,380",70,128,53,140.1,5.5,3.9,1.6,31.2,19.6,07/12/2014,uB,0
Unilever Uk,UK sub,4,4,0,1829,"1,772",3.2,128,142,-9.8,7,8,-1,16.2,20.8,12/11/2014,B,0
Coca-Cola Enterprises,UK sub,5,5,0,1765,"1,668",5.8,247,252,-1.8,14,15.1,-1.1,37.2,38.5,12/11/2014,B,0
Premier Foods,Listed,6,3,-3,1751,"2,000",-12.4,121,196,-38.1,6.9,9.8,-2.9,30,42.4,12/12/2014,B,0
Bakkavor,Family,7,7,0,1699,"1,682",1,67,56,19.5,3.9,3.3,0.6,5.3,3.9,12/12/2014,uB,0
Nestle Uk,UK sub,8,6,-2,1644,"1,609",2.2,36,73,-51.6,2.2,4.6,-2.4,2.7,15.4,12/12/2014,B,0
Arla Foods,UK sub,9,9,0,1587,"1,482",7.1,37,41,-10.6,2.3,2.8,-0.5,11.6,12.9,12/11/2014,uB,0
Princes,UK sub,10,14,4,1508,"1,184",27.3,48,41,17.5,3.2,3.5,-0.3,14.6,18.3,03/12/2014,B,0
Dairy Crest Group,Listed,11,8,-3,1423,"1,628",-12.6,34,19,82.9,2.4,1.2,1.3,6.3,4.6,Mar-13,uB,0
Britvic,Listed,12,13,1,1260,"1,294",-2.6,97,113,-14.8,7.7,8.8,-1.1,28.1,33.6,09/12/2014,B,0
Wm Morrison Produce,UK sub,13,15,2,1195,"1,168",2.3,106,111,-4.6,8.8,9.5,-0.6,19.3,23.6,01/12/2014,uB,0
Mondelez Uk,UK sub,14,,,1154,na,na,27,na,na,2.4,na,na,na,na,12/11/2014,B,0
Mars Uk,UK sub,15,18,3,1122,"1,067",5.1,151,152,-0.8,13.4,14.2,-0.8,33.6,45.5,12/11/2014,B,0
Tulip,UK sub,16,16,0,1121,"1,109",1.1,43,39,10.1,3.9,3.6,0.3,8.2,7.9,09/12/2014,uB,0
Greencore Convenience Foods,Listed,17,23,6,1094,720,51.9,69,48,42.9,6.3,6.7,-0.4,36.6,26.9,09/12/2014,uB,0
Moy Park,UK sub,18,17,-1,1087,"1,072",1.3,28,8,252,2.5,0.7,1.8,11.5,3.4,12/12/2014,uB,0
United Biscuits,PE,19,12,-7,1053,"1,056",-0.2,125,125,0.7,11.9,11.8,0.1,22.3,21.7,12/12/2014,B,0
Hilton Food Group,Listed,20,19,-1,1034,984,5.1,26,27,-0.9,2.6,2.7,-0.2,34.9,39.1,12/12/2014,uB,17
