Age,Main,Occupation,Male,Female
18-21,Administrative and secretarial occupations,Administrative and secretarial occupations,13265,12183
22-29,Administrative and secretarial occupations,Administrative and secretarial occupations,18994,17492
30-39,Administrative and secretarial occupations,Administrative and secretarial occupations,23127,17595
40-49,Administrative and secretarial occupations,Administrative and secretarial occupations,25156,17216
50-59,Administrative and secretarial occupations,Administrative and secretarial occupations,24830,17353
60+,Administrative and secretarial occupations,Administrative and secretarial occupations,17626,12779
18-21,Administrative and secretarial occupations,Administrative occupations,13604,12898
22-29,Administrative and secretarial occupations,Administrative occupations,19393,17943
30-39,Administrative and secretarial occupations,Administrative occupations,23505,18088
40-49,Administrative and secretarial occupations,Administrative occupations,25424,17705
50-59,Administrative and secretarial occupations,Administrative occupations,25280,18006
60+,Administrative and secretarial occupations,Administrative occupations,18608,13321
18-21,Administrative and secretarial occupations,Secretarial and related occupations,,
22-29,Administrative and secretarial occupations,Secretarial and related occupations,15233,15265
30-39,Administrative and secretarial occupations,Secretarial and related occupations,16266,14973
40-49,Administrative and secretarial occupations,Secretarial and related occupations,18442,15622
50-59,Administrative and secretarial occupations,Secretarial and related occupations,,15063
60+,Administrative and secretarial occupations,Secretarial and related occupations,,12198
22-29,ALL OCCUPATIONS,ALL OCCUPATIONS,21088,17098
30-39,ALL OCCUPATIONS,ALL OCCUPATIONS,29085,20369
40-49,ALL OCCUPATIONS,ALL OCCUPATIONS,32443,18942
50-59,ALL OCCUPATIONS,ALL OCCUPATIONS,30992,17710
60+,ALL OCCUPATIONS,ALL OCCUPATIONS,22977,12191
18-21,Associate professional and technical occupations,Associate professional and technical occupations,,13743
22-29,Associate professional and technical occupations,Associate professional and technical occupations,26034,23812
30-39,Associate professional and technical occupations,Associate professional and technical occupations,32965,26690
40-49,Associate professional and technical occupations,Associate professional and technical occupations,36982,26514
50-59,Associate professional and technical occupations,Associate professional and technical occupations,36041,24577
60+,Associate professional and technical occupations,Associate professional and technical occupations,27500,20084
18-21,Associate professional and technical occupations,Business and public service associate professionals,,15616
22-29,Associate professional and technical occupations,Business and public service associate professionals,28056,25000
30-39,Associate professional and technical occupations,Business and public service associate professionals,36006,28526
40-49,Associate professional and technical occupations,Business and public service associate professionals,40684,28000
50-59,Associate professional and technical occupations,Business and public service associate professionals,39588,27142
60+,Associate professional and technical occupations,Business and public service associate professionals,31079,21292
18-21,Associate professional and technical occupations,"Culture, media and sports occupations",,
22-29,Associate professional and technical occupations,"Culture, media and sports occupations",19752,19648
30-39,Associate professional and technical occupations,"Culture, media and sports occupations",27966,23023
40-49,Associate professional and technical occupations,"Culture, media and sports occupations",28452,
50-59,Associate professional and technical occupations,"Culture, media and sports occupations",,
60+,Associate professional and technical occupations,"Culture, media and sports occupations",,
18-21,Associate professional and technical occupations,Health and social care associate professionals,,
22-29,Associate professional and technical occupations,Health and social care associate professionals,18995,20020
30-39,Associate professional and technical occupations,Health and social care associate professionals,26193,21439
40-49,Associate professional and technical occupations,Health and social care associate professionals,27507,20112
50-59,Associate professional and technical occupations,Health and social care associate professionals,28261,21923
60+,Associate professional and technical occupations,Health and social care associate professionals,,19731
18-21,Associate professional and technical occupations,Protective service occupations,22462,
22-29,Associate professional and technical occupations,Protective service occupations,30165,29789
30-39,Associate professional and technical occupations,Protective service occupations,35814,33056
40-49,Associate professional and technical occupations,Protective service occupations,40093,37029
50-59,Associate professional and technical occupations,Protective service occupations,38733,31088
60+,Associate professional and technical occupations,Protective service occupations,27196,24992
18-21,Associate professional and technical occupations,"Science, engineering and technology associate professionals",,
22-29,Associate professional and technical occupations,"Science, engineering and technology associate professionals",24167,22089
30-39,Associate professional and technical occupations,"Science, engineering and technology associate professionals",28840,23820
40-49,Associate professional and technical occupations,"Science, engineering and technology associate professionals",32344,21320
50-59,Associate professional and technical occupations,"Science, engineering and technology associate professionals",32089,20658
60+,Associate professional and technical occupations,"Science, engineering and technology associate professionals",27293,19678
18-21,"Caring, leisure and other service occupations",Caring personal service occupations,9784,11061
22-29,"Caring, leisure and other service occupations",Caring personal service occupations,15097,12795
30-39,"Caring, leisure and other service occupations",Caring personal service occupations,16907,11985
40-49,"Caring, leisure and other service occupations",Caring personal service occupations,17837,12571
50-59,"Caring, leisure and other service occupations",Caring personal service occupations,18269,13206
60+,"Caring, leisure and other service occupations",Caring personal service occupations,14885,11722
18-21,"Caring, leisure and other service occupations","Caring, leisure and other service occupations",7723,10390
22-29,"Caring, leisure and other service occupations","Caring, leisure and other service occupations",15305,12748
30-39,"Caring, leisure and other service occupations","Caring, leisure and other service occupations",17801,11948
40-49,"Caring, leisure and other service occupations","Caring, leisure and other service occupations",18715,12584
50-59,"Caring, leisure and other service occupations","Caring, leisure and other service occupations",19137,13185
60+,"Caring, leisure and other service occupations","Caring, leisure and other service occupations",15118,11442
18-21,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",,
22-29,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",15802,12360
30-39,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",20332,11650
40-49,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",20627,12733
50-59,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",21187,12653
60+,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",15397,9863
18-21,Elementary occupations,Elementary administration and service occupations,8139,5271
22-29,Elementary occupations,Elementary administration and service occupations,14706,9862
30-39,Elementary occupations,Elementary administration and service occupations,17762,7837
40-49,Elementary occupations,Elementary administration and service occupations,19455,7410
50-59,Elementary occupations,Elementary administration and service occupations,19148,7819
60+,Elementary occupations,Elementary administration and service occupations,15501,5669
18-21,Elementary occupations,Elementary occupations,8916,5479
22-29,Elementary occupations,Elementary occupations,15451,10259
