Main,Occupation,Age,Male,Female
Administrative and secretarial occupations,Administrative occupations,18-21,13604,12898
Administrative and secretarial occupations,Administrative occupations,22-29,19393,17943
Administrative and secretarial occupations,Administrative occupations,30-39,23505,18088
Administrative and secretarial occupations,Administrative occupations,40-49,25424,17705
Administrative and secretarial occupations,Administrative occupations,50-59,25280,18006
Administrative and secretarial occupations,Administrative occupations,60+,18608,13321
Administrative and secretarial occupations,Secretarial and related occupations,18-21,,
Administrative and secretarial occupations,Secretarial and related occupations,22-29,15233,15265
Administrative and secretarial occupations,Secretarial and related occupations,30-39,16266,14973
Administrative and secretarial occupations,Secretarial and related occupations,40-49,18442,15622
Administrative and secretarial occupations,Secretarial and related occupations,50-59,,15063
Administrative and secretarial occupations,Secretarial and related occupations,60+,,12198
