Age,Main,Occupation,Code,Jobs_M,Male,Jobs_F,Female
18-21, ALL OCCUPATIONS,ALL OCCUPATIONS,,581,7.26,665,7
22-29, ALL OCCUPATIONS,ALL OCCUPATIONS,,2231,10.28,2170,9.85
30-39, ALL OCCUPATIONS,ALL OCCUPATIONS,,3096,14.06,2748,12.45
40-49, ALL OCCUPATIONS,ALL OCCUPATIONS,,3223,15.42,3208,11.58
50-59, ALL OCCUPATIONS,ALL OCCUPATIONS,,2580,14.94,2792,10.86
60+, ALL OCCUPATIONS,ALL OCCUPATIONS,,1032,12.22,902,9.61
18-21," Managers, directors and senior officials",Corporate managers and directors,11,4,8.94,x,7.76
22-29," Managers, directors and senior officials",Corporate managers and directors,11,95,12.92,62,12.25
30-39," Managers, directors and senior officials",Corporate managers and directors,11,313,21.66,170,20.2
40-49," Managers, directors and senior officials",Corporate managers and directors,11,497,24.54,202,20.54
50-59," Managers, directors and senior officials",Corporate managers and directors,11,376,24.71,157,18.92
60+," Managers, directors and senior officials",Corporate managers and directors,11,132,20,42,14.81
18-21," Managers, directors and senior officials","Managers, directors and senior officials",1,5,8.94,19,8.52
22-29," Managers, directors and senior officials","Managers, directors and senior officials",1,123,12.3,87,11.5
30-39," Managers, directors and senior officials","Managers, directors and senior officials",1,367,19.68,209,18.06
40-49," Managers, directors and senior officials","Managers, directors and senior officials",1,553,23.46,254,19.12
50-59," Managers, directors and senior officials","Managers, directors and senior officials",1,426,23.67,205,17.64
60+," Managers, directors and senior officials","Managers, directors and senior officials",1,151,19.12,58,14.49
18-21," Managers, directors and senior officials",Other managers and proprietors,12,x,x,x,8.54
22-29," Managers, directors and senior officials",Other managers and proprietors,12,28,10.37,25,9.93
30-39," Managers, directors and senior officials",Other managers and proprietors,12,55,13.55,39,13.03
40-49," Managers, directors and senior officials",Other managers and proprietors,12,56,17.06,52,14.46
50-59," Managers, directors and senior officials",Other managers and proprietors,12,50,16.86,49,15.03
60+," Managers, directors and senior officials",Other managers and proprietors,12,19,14,16,12.49
18-21,Administrative and secretarial occupations,Administrative and secretarial occupations,4,46,7.93,80,7.76
22-29,Administrative and secretarial occupations,Administrative and secretarial occupations,4,180,9.82,351,9.61
30-39,Administrative and secretarial occupations,Administrative and secretarial occupations,4,176,11.59,439,10.43
40-49,Administrative and secretarial occupations,Administrative and secretarial occupations,4,146,12.42,605,10.47
50-59,Administrative and secretarial occupations,Administrative and secretarial occupations,4,136,12.38,618,10.36
60+,Administrative and secretarial occupations,Administrative and secretarial occupations,4,71,10.89,240,10
18-21,Administrative and secretarial occupations,Administrative occupations,41,43,8,64,7.86
22-29,Administrative and secretarial occupations,Administrative occupations,41,166,9.94,281,9.85
30-39,Administrative and secretarial occupations,Administrative occupations,41,165,11.76,348,10.61
40-49,Administrative and secretarial occupations,Administrative occupations,41,138,12.7,457,10.65
50-59,Administrative and secretarial occupations,Administrative occupations,41,129,12.57,442,10.5
60+,Administrative and secretarial occupations,Administrative occupations,41,65,11.08,160,10.08
18-21,Administrative and secretarial occupations,Secretarial and related occupations,42,x,7.32,17,7.41
22-29,Administrative and secretarial occupations,Secretarial and related occupations,42,15,8.2,70,8.72
30-39,Administrative and secretarial occupations,Secretarial and related occupations,42,11,9.54,91,9.97
40-49,Administrative and secretarial occupations,Secretarial and related occupations,42,8,9.96,149,9.95
50-59,Administrative and secretarial occupations,Secretarial and related occupations,42,7,9.88,177,9.92
60+,Administrative and secretarial occupations,Secretarial and related occupations,42,6,8.14,80,9.74
18-21,Associate professional and technical occupations,Associate professional and technical occupations,3,50,9.38,42,8.62
22-29,Associate professional and technical occupations,Associate professional and technical occupations,3,359,13.1,304,12.58
30-39,Associate professional and technical occupations,Associate professional and technical occupations,3,573,16.14,427,14.91
40-49,Associate professional and technical occupations,Associate professional and technical occupations,3,551,17.97,401,14.83
50-59,Associate professional and technical occupations,Associate professional and technical occupations,3,393,17.87,288,13.71
60+,Associate professional and technical occupations,Associate professional and technical occupations,3,112,14.96,66,12.7
18-21,Associate professional and technical occupations,Business and public service associate professionals,35,19,9.15,26,8.62
22-29,Associate professional and technical occupations,Business and public service associate professionals,35,186,13.97,203,13.02
30-39,Associate professional and technical occupations,Business and public service associate professionals,35,294,17.59,263,15.73
40-49,Associate professional and technical occupations,Business and public service associate professionals,35,283,19.62,244,15.52
50-59,Associate professional and technical occupations,Business and public service associate professionals,35,213,19.6,162,14.85
60+,Associate professional and technical occupations,Business and public service associate professionals,35,63,16.63,38,12.66
18-21,Associate professional and technical occupations,"Culture, media and sports occupations",34,9,10.05,x,8.62
22-29,Associate professional and technical occupations,"Culture, media and sports occupations",34,38,11.24,22,11.97
30-39,Associate professional and technical occupations,"Culture, media and sports occupations",34,32,14.36,27,13.27
40-49,Associate professional and technical occupations,"Culture, media and sports occupations",34,27,15.11,20,14.33
50-59,Associate professional and technical occupations,"Culture, media and sports occupations",34,14,15.53,11,13.44
60+,Associate professional and technical occupations,"Culture, media and sports occupations",34,6,15.02,x,12.7
18-21,Associate professional and technical occupations,Health and social care associate professionals,32,x,9.5,x,8.37
22-29,Associate professional and technical occupations,Health and social care associate professionals,32,14,11.06,31,11.53
30-39,Associate professional and technical occupations,Health and social care associate professionals,32,31,13.85,58,12.5
40-49,Associate professional and technical occupations,Health and social care associate professionals,32,28,14.03,63,12.3
50-59,Associate professional and technical occupations,Health and social care associate professionals,32,22,14.55,68,12.63
60+,Associate professional and technical occupations,Health and social care associate professionals,32,7,11.47,15,13.22
18-21,Associate professional and technical occupations,Protective service occupations,33,x,11.37,x,11.84
22-29,Associate professional and technical occupations,Protective service occupations,33,30,14.23,14,13.97
30-39,Associate professional and technical occupations,Protective service occupations,33,90,16.86,39,16.5
40-49,Associate professional and technical occupations,Protective service occupations,33,103,18.47,34,18.01
50-59,Associate professional and technical occupations,Protective service occupations,33,47,18.32,12,15.92
60+,Associate professional and technical occupations,Protective service occupations,33,7,14.65,x,13.52
18-21,Associate professional and technical occupations,"Science, engineering and technology associate professionals",31,19,8.77,x,7.87
22-29,Associate professional and technical occupations,"Science, engineering and technology associate professionals",31,92,12.02,35,11.68
30-39,Associate professional and technical occupations,"Science, engineering and technology associate professionals",31,126,14.23,40,13.25
40-49,Associate professional and technical occupations,"Science, engineering and technology associate professionals",31,110,15.32,40,12.81
50-59,Associate professional and technical occupations,"Science, engineering and technology associate professionals",31,98,15.88,35,11.36
