Main,Occupation,Age,Male,Female
Associate professional and technical occupations,Business and public service associate professionals,18-21,,15616
Associate professional and technical occupations,Business and public service associate professionals,22-29,28056,25000
Associate professional and technical occupations,Business and public service associate professionals,30-39,36006,28526
Associate professional and technical occupations,Business and public service associate professionals,40-49,40684,28000
Associate professional and technical occupations,Business and public service associate professionals,50-59,39588,27142
Associate professional and technical occupations,Business and public service associate professionals,60+,31079,21292
Associate professional and technical occupations,"Culture, media and sports occupations",18-21,,
Associate professional and technical occupations,"Culture, media and sports occupations",22-29,19752,19648
Associate professional and technical occupations,"Culture, media and sports occupations",30-39,27966,23023
Associate professional and technical occupations,"Culture, media and sports occupations",40-49,28452,
Associate professional and technical occupations,"Culture, media and sports occupations",50-59,,
Associate professional and technical occupations,"Culture, media and sports occupations",60+,,
Associate professional and technical occupations,Health and social care associate professionals,18-21,,
Associate professional and technical occupations,Health and social care associate professionals,22-29,18995,20020
Associate professional and technical occupations,Health and social care associate professionals,30-39,26193,21439
Associate professional and technical occupations,Health and social care associate professionals,40-49,27507,20112
Associate professional and technical occupations,Health and social care associate professionals,50-59,28261,21923
Associate professional and technical occupations,Health and social care associate professionals,60+,,19731
Associate professional and technical occupations,Protective service occupations,18-21,22462,
Associate professional and technical occupations,Protective service occupations,22-29,30165,29789
Associate professional and technical occupations,Protective service occupations,30-39,35814,33056
Associate professional and technical occupations,Protective service occupations,40-49,40093,37029
Associate professional and technical occupations,Protective service occupations,50-59,38733,31088
Associate professional and technical occupations,Protective service occupations,60+,27196,24992
Associate professional and technical occupations,"Science, engineering and technology associate professionals",18-21,,
Associate professional and technical occupations,"Science, engineering and technology associate professionals",22-29,24167,22089
Associate professional and technical occupations,"Science, engineering and technology associate professionals",30-39,28840,23820
Associate professional and technical occupations,"Science, engineering and technology associate professionals",40-49,32344,21320
Associate professional and technical occupations,"Science, engineering and technology associate professionals",50-59,32089,20658
Associate professional and technical occupations,"Science, engineering and technology associate professionals",60+,27293,19678
