Main,Occupation,Age,Male,Female
"Caring, leisure and other service occupations",Caring personal service occupations,18-21,9784,11061
"Caring, leisure and other service occupations",Caring personal service occupations,22-29,15097,12795
"Caring, leisure and other service occupations",Caring personal service occupations,30-39,16907,11985
"Caring, leisure and other service occupations",Caring personal service occupations,40-49,17837,12571
"Caring, leisure and other service occupations",Caring personal service occupations,50-59,18269,13206
"Caring, leisure and other service occupations",Caring personal service occupations,60+,14885,11722
"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",18-21,,
"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",22-29,15802,12360
"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",30-39,20332,11650
"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",40-49,20627,12733
"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",50-59,21187,12653
"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",60+,15397,9863
