Main,Occupation,Age,Male,Female
"Managers, directors and senior officials",Corporate managers and directors,18-21,,13622
"Managers, directors and senior officials",Corporate managers and directors,22-29,26665,23854
"Managers, directors and senior officials",Corporate managers and directors,30-39,42691,35640
"Managers, directors and senior officials",Corporate managers and directors,40-49,49180,37594
"Managers, directors and senior officials",Corporate managers and directors,50-59,49264,34078
"Managers, directors and senior officials",Corporate managers and directors,60+,36959,19056
"Managers, directors and senior officials",Other managers and proprietors,18-21,,16314
"Managers, directors and senior officials",Other managers and proprietors,22-29,21064,18548
"Managers, directors and senior officials",Other managers and proprietors,30-39,29308,23570
"Managers, directors and senior officials",Other managers and proprietors,40-49,35662,27821
"Managers, directors and senior officials",Other managers and proprietors,50-59,33061,27693
"Managers, directors and senior officials",Other managers and proprietors,60+,25930,
