Main,Occupation,Age,Male,Female
"Process, plant and machine operatives","Process, plant and machine operatives_",18-21,15152,13247
"Process, plant and machine operatives","Process, plant and machine operatives_",22-29,20766,16360
"Process, plant and machine operatives","Process, plant and machine operatives_",30-39,23152,16045
"Process, plant and machine operatives","Process, plant and machine operatives_",40-49,25068,15949
"Process, plant and machine operatives","Process, plant and machine operatives_",50-59,24242,15866
"Process, plant and machine operatives","Process, plant and machine operatives_",60+,20392,13792
"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,18-21,,12120
"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,22-29,20494,
"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,30-39,23902,
"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,40-49,25680,16018
"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,50-59,24307,19115
"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,60+,18643,
