Main,Occupation,Age,Male,Female
Professional occupations,"Business, media and public service professionals",18-21,16278,
Professional occupations,"Business, media and public service professionals",22-29,30903,28512
Professional occupations,"Business, media and public service professionals",30-39,38093,33245
Professional occupations,"Business, media and public service professionals",40-49,42260,33108
Professional occupations,"Business, media and public service professionals",50-59,40064,32576
Professional occupations,"Business, media and public service professionals",60+,32437,22929
Professional occupations,Health professionals,18-21,,
Professional occupations,Health professionals,22-29,26929,26480
Professional occupations,Health professionals,30-39,35801,27423
Professional occupations,Health professionals,40-49,41066,28994
Professional occupations,Health professionals,50-59,40964,29116
Professional occupations,Health professionals,60+,36720,21041
Professional occupations,"Science, research, engineering and technology professionals",18-21,,
Professional occupations,"Science, research, engineering and technology professionals",22-29,29624,28340
Professional occupations,"Science, research, engineering and technology professionals",30-39,40000,33026
Professional occupations,"Science, research, engineering and technology professionals",40-49,44000,36071
Professional occupations,"Science, research, engineering and technology professionals",50-59,42694,36969
Professional occupations,"Science, research, engineering and technology professionals",60+,38615,
Professional occupations,Teaching and educational professionals,18-21,,
Professional occupations,Teaching and educational professionals,22-29,27475,26293
Professional occupations,Teaching and educational professionals,30-39,37209,31985
Professional occupations,Teaching and educational professionals,40-49,41576,33520
Professional occupations,Teaching and educational professionals,50-59,41130,35426
Professional occupations,Teaching and educational professionals,60+,27595,22846
