Main,Occupation,Age,Male,Female
Sales and customer service occupations,Customer service occupations,18-21,,8515
Sales and customer service occupations,Customer service occupations,22-29,17278,16021
Sales and customer service occupations,Customer service occupations,30-39,21157,16693
Sales and customer service occupations,Customer service occupations,40-49,22084,17880
Sales and customer service occupations,Customer service occupations,50-59,21925,16930
Sales and customer service occupations,Customer service occupations,60+,14770,12517
Sales and customer service occupations,Sales occupations,18-21,6905,5607
Sales and customer service occupations,Sales occupations,22-29,13584,10140
Sales and customer service occupations,Sales occupations,30-39,16144,9110
Sales and customer service occupations,Sales occupations,40-49,16620,10052
Sales and customer service occupations,Sales occupations,50-59,16090,9666
Sales and customer service occupations,Sales occupations,60+,11469,7270
